label,strain,virus,accession,sampling_date,adm2,adm1,adm0,authors
EBOV|BTB2640||DRC|Nord-Kivu|2019-01-03,BTB2640,EBOV,,2019-01-03,Katwa,Nord-Kivu,COD,Mbala et al.
EBOV|BTB2696||DRC|Nord-Kivu|2019-01-04,BTB2696,EBOV,,2019-01-04,Katwa,Nord-Kivu,COD,Mbala et al.
EBOV|BTB2749||DRC|Nord-Kivu|2019-01-05,BTB2749,EBOV,,2019-01-05,Katwa,Nord-Kivu,COD,Mbala et al.
EBOV|BTB2869||DRC|Nord-Kivu|2019-01-07,BTB2869,EBOV,,2019-01-07,Katwa,Nord-Kivu,COD,Mbala et al.
EBOV|BTB287||DRC|Nord-Kivu|2018-10-23,BTB287,EBOV,,2018-10-23,Katwa,Nord-Kivu,COD,Mbala et al.
EBOV|BTB294||DRC|Nord-Kivu|2018-10-23,BTB294,EBOV,,2018-10-23,Vuhovi,Nord-Kivu,COD,Mbala et al.
EBOV|BTB2996||DRC|Nord-Kivu|2019-01-09,BTB2996,EBOV,,2019-01-09,Butembo,Nord-Kivu,COD,Mbala et al.
EBOV|BTB3104||DRC|Nord-Kivu|2019-01-10,BTB3104,EBOV,,2019-01-10,Katwa,Nord-Kivu,COD,Mbala et al.
EBOV|BTB3177||DRC|Nord-Kivu|2019-01-12,BTB3177,EBOV,,2019-01-12,Katwa,Nord-Kivu,COD,Mbala et al.
EBOV|BTB3207||DRC|Nord-Kivu|2019-01-12,BTB3207,EBOV,,2019-01-12,Butembo,Nord-Kivu,COD,Mbala et al.
EBOV|BTB3223||DRC|Nord-Kivu|2019-01-12,BTB3223,EBOV,,2019-01-12,Katwa,Nord-Kivu,COD,Mbala et al.
EBOV|BTB323||DRC|Nord-Kivu|2018-10-26,BTB323,EBOV,,2018-10-26,Katwa,Nord-Kivu,COD,Mbala et al.
EBOV|BTB336||DRC|Nord-Kivu|2018-10-26,BTB336,EBOV,,2018-10-26,Katwa,Nord-Kivu,COD,Mbala et al.
EBOV|BTB350||DRC|Nord-Kivu|2018-10-27,BTB350,EBOV,,2018-10-27,Katwa,Nord-Kivu,COD,Mbala et al.
